Firm,Industry,Sector,Collector,Privacy policy exists,Existence of a transparency report,Contact option,Legislation complied with,Third party sharing,Existence of a Data Protection Officer,ISO type,Comment,Privacy Policy URL,Privacy Policy URL corrected
Autodesk,Computer Software,Technology,Simon,1,1,1,standard,1,1,1,,https://www.autodesk.com/company/legal-notices-trademarks/privacy-statement,
Steelcase,"Home Equipment, Furnishings",Household Products,Simon,1,0,1,standard,1,1,0,,https://www.steelcase.com/privacy-policy/,
Ciena,Network and Other Communications Equipment,Technology,Simon,1,0,1,gdpr,0,1,1,,https://www.ciena.com/about/corporate-governance/privacy-policy/,
Workday,Computer Software,Technology,Simon,1,0,1,standard,1,1,1,,https://forms.workday.com/nl-nl/quick-demos/product-preview-enterprise-cloud-for-hr-and-finance/form.html,https://www.workday.com/en-us/privacy.html
Gartner,Information Technology Services,Technology,Simon,1,0,1,standard,1,1,1,,https://www.gartner.com/en/about/policies/privacy,
Broadridge Financial Solutions,Financial Data Services,Business Services,Simon,1,0,1,standard,1,1,1,,https://www.broadridge.com/legal/privacy-statement-english,
Juniper Networks,Network and Other Communications Equipment,Technology,Simon,1,0,1,standard,1,1,1,,https://www.juniper.net/us/en/privacy-policy/,
Leggett & Platt,"Home Equipment, Furnishings",Household Products,Simon,1,0,0,standard,1,0,0,,https://privacy.leggett.com/,https://privacy.leggett.com/privacy-statement
Electronic Arts,Entertainment,Media,Simon,1,0,0,standard,1,1,0,,https://www.ea.com/legal/privacy-policy,
CACI International,Information Technology Services,Technology,Simon,1,0,1,standard,1,0,1,,https://www.caci.com/privacy-policy,
T. Rowe Price,Securities and Asset Management,Financials,Simon,1,0,0,standard,1,0,0,,https://www.troweprice.com/PrivacyNoticeUSCAN,
Cerner,Health Care: Pharmacy and Other Services,Health Care,Simon,1,0,0,standard,1,1,0,,https://www.cerner.com/privacy,
Simon Property Group,Real Estate,Financials,Simon,1,0,1,standard,1,1,0,,https://www.simon.com/legal/privacy,
Fortune Brands Home & Security,"Home Equipment, Furnishings",Household Products,Simon,1,0,0,standard,1,0,0,,https://www.fbhs.com/privacy-policy,
Robert Half International,Diversified Outsourcing Services,Business Services,Simon,1,0,0,standard,1,1,1,,https://www.roberthalf.com/privacy-policy,
Apache,"Mining, Crude-Oil Production",Energy,Simon,1,0,0,standard,1,1,0,,https://www.apachecorp.com/wp-content/uploads/2020/01/Apache_Code_of_Business_Conduct_and_Ethics.pdf,https://apacorp.com/privacy-policy/
Activision Blizzard,Entertainment,Media,Simon,1,0,1,standard,1,1,0,,https://www.activisionblizzard.com/legal/privacy-policy,
Booz Allen Hamilton Holding,Information Technology Services,Technology,Simon,1,0,1,standard,1,0,1,,https://www.boozallen.com/about/environmental-social-governance-report/data-privacy.html,https://www.boozallen.com/tools/footer-navigation/privacy-policy.html
Intuit,Computer Software,Technology,Simon,1,0,1,standard,1,1,0,,https://www.intuit.com/privacy/,https://www.intuit.com/privacy/statement/
Northern Trust,Superregional Banks,Financials,Simon,1,0,1,standard,1,1,1,,https://www.northerntrust.com/united-states/privacy/global-privacy-standard,https://cdn.northerntrust.com/pws/nt/documents/legal/us-privacy-notice.pdf
Quest Diagnostics,Health Care: Pharmacy and Other Services,Health Care,Simon,1,0,1,standard,1,0,0,,https://www.questdiagnostics.com/home/privacy/,https://www.questdiagnostics.com/home/privacy/privacy-notice/
Motorola Solutions,Network and Other Communications Equipment,Technology,Simon,1,0,1,standard,1,1,0,,https://www.motorolasolutions.com/en_us/about/privacy-policy.html,
Raymond James Financial,Securities and Asset Management,Financials,Simon,1,0,0,standard,1,0,0,,https://www.raymondjames.com/privacy-security-and-account-protection/privacy-notice,
Ryder System,"Trucking, Transportation, Logistics",Transportation,Simon,1,0,1,standard,1,0,0,,https://ryder.com/privacy-policy,
Wayfair,Internet Services and Retailing,Retailing,Simon,1,0,0,standard,1,1,0,,https://www.wayfair.com/help/article/privacy_policy,https://terms.wayfair.io/en-US?csnid=&csnutid=23e17d3a-60a1-2f8b-9868-395b3a798602&txid=I%2BF9OmChL6cRWjcz7YWvAg%3D%3D#privacy
J.B. Hunt Transport Services,"Trucking, Truck Leasing",Transportation,Simon,1,0,0,standard,1,0,0,,https://www.jbhunt.com/privacy-policy.html,
Jones Financial (Edward Jones),Securities and Asset Management,Financials,Simon,1,0,0,standard,1,0,0,,https://www.edwardjones.com/us-en/privacy,https://www.edwardjones.com/us-en/privacy/online-privacy-policy
Lam Research,Semiconductors,Technology,Simon,0,0,0,standard,1,0,0,,https://www.lamresearch.com/privacy/,
Fiserv,Financial Data Services,Business Services,Simon,1,0,1,standard,1,1,1,,https://www.fiserv.com/en/about-fiserv/privacy-notice.html,
Liberty Media,Entertainment,Media,Simon,1,0,0,standard,1,0,0,,http://www.libertymedia.com/privacy.html,
Henry Schein,Wholesalers: Health Care,Health Care,Simon,1,0,0,standard,1,0,1,,https://www.henryschein.com/us-en/privacy.aspx,https://www.henryschein.com/us-en/Privacy.aspx?PageType=popup