firm,longterm,share_percent
"Netflix, Inc.",0,10.97
"Netflix, Inc.",0,0.71
"Netflix, Inc.",1,2.39
"Netflix, Inc.",0,3.62
"Netflix, Inc.",0,0.12
"Netflix, Inc.",0,1.35
"Netflix, Inc.",0,2.31
"Nextera Energy, Inc.",0,40.94
"Nextera Energy, Inc.",0,6.78
"Nextera Energy, Inc.",0,13.46
"Nextera Energy, Inc.",1,3.68
"Nextera Energy, Inc.",0,6.57
"Nextera Energy, Inc.",0,0.1
"Nextera Energy, Inc.",0,0.41
"Nextera Energy, Inc.",0,3.65
Nordstrom Inc,0,33.98
Nordstrom Inc,0,12.12
Nordstrom Inc,0,11.51
Nordstrom Inc,0,0.58
Nordstrom Inc,1,2.3
Nordstrom Inc,0,9.49
Nordstrom Inc,0,0
Nordstrom Inc,0,0.54
Nordstrom Inc,0,2.68
Nordstrom Inc,0,0.43
Norfolk Southern Corp,0,38.84
Norfolk Southern Corp,0,13.81
Norfolk Southern Corp,0,10.02
Norfolk Southern Corp,1,2.67
Norfolk Southern Corp,0,2.84
Norfolk Southern Corp,0,1.02
Norfolk Southern Corp,0,2.89
Nvidia Corp,0,31.37
Nvidia Corp,0,13.6
Nvidia Corp,0,3.37
Nvidia Corp,1,2.19
Nvidia Corp,0,2.17
Nvidia Corp,0,0.15
Nvidia Corp,0,0.37
Nvidia Corp,0,2.56
Nvidia Corp,0,0.16
Occidental Petroleum Corporation,0,29.09
Occidental Petroleum Corporation,0,38.09
Occidental Petroleum Corporation,0,1.39
Occidental Petroleum Corporation,1,4.62
Occidental Petroleum Corporation,0,3.08
Occidental Petroleum Corporation,0,10
Occidental Petroleum Corporation,0,0.31
Occidental Petroleum Corporation,0,2.53
Occidental Petroleum Corporation,0,0.11
Odp Corporation,0,25.36
Odp Corporation,0,16.86
Odp Corporation,0,8
Odp Corporation,1,1.21
Odp Corporation,0,6.44
Odp Corporation,0,0.3
Odp Corporation,0,2.87
Odp Corporation,0,0.21
Omnicom Group Inc,0,40.18
Omnicom Group Inc,0,13.51
Omnicom Group Inc,0,27.2
Omnicom Group Inc,1,6.13
Omnicom Group Inc,0,9.22
Omnicom Group Inc,0,0.8
Omnicom Group Inc,0,3.46
Omnicom Group Inc,0,0.4
Oracle Corp,0,21.9
Oracle Corp,0,2.99
Oracle Corp,0,12.26
Oracle Corp,1,2.42
Oracle Corp,0,2.59
Oracle Corp,0,0
Oracle Corp,0,2.14
Paccar Inc,0,30.29
Paccar Inc,0,13.49
Paccar Inc,0,12.51
Paccar Inc,1,1.69
Paccar Inc,0,3.09
Paccar Inc,0,0.41
Paccar Inc,0,2.61
Paccar Inc,0,0.12
Parker Hannifin Corp,0,36.33
Parker Hannifin Corp,0,10.63
Parker Hannifin Corp,0,6.6
Parker Hannifin Corp,1,3.72
Parker Hannifin Corp,0,7.51
Parker Hannifin Corp,0,1.29
Parker Hannifin Corp,0,4.12
Parker Hannifin Corp,0,1.13
"Paypal Holdings, Inc.",0,31.82
"Paypal Holdings, Inc.",0,17.35
"Paypal Holdings, Inc.",0,13.95
"Paypal Holdings, Inc.",0,0.82
"Paypal Holdings, Inc.",1,3.09
"Paypal Holdings, Inc.",0,7.04
"Paypal Holdings, Inc.",0,0.25
"Paypal Holdings, Inc.",0,0.69
"Paypal Holdings, Inc.",0,3.25
"Paypal Holdings, Inc.",0,0.13
Pbf Energy Inc.,0,28.94
Pbf Energy Inc.,0,16.15
Pbf Energy Inc.,0,17.35
Pbf Energy Inc.,0,0.32
Pbf Energy Inc.,1,2.81
Pbf Energy Inc.,0,12.04
Pbf Energy Inc.,0,17.82
Pbf Energy Inc.,0,3.14
Pbf Energy Inc.,0,3.08
Pbf Energy Inc.,0,0.11
"Penske Automotive Group, Inc.",0,11.38
"Penske Automotive Group, Inc.",0,34.25
"Penske Automotive Group, Inc.",0,10.73
"Penske Automotive Group, Inc.",1,0.25
"Penske Automotive Group, Inc.",0,3.05
"Penske Automotive Group, Inc.",0,0.49
"Penske Automotive Group, Inc.",0,1.96
Pfizer Inc,0,26.03
Pfizer Inc,0,13.47
Pfizer Inc,0,11.81
Pfizer Inc,1,3.37
Pfizer Inc,0,2.2
Pfizer Inc,0,0.43
Pfizer Inc,0,2.45
Pg&E Corp,0,6.92
Pg&E Corp,0,10.92
Pg&E Corp,0,15.28
Pg&E Corp,0,1.47
Pg&E Corp,1,0.85
Pg&E Corp,0,2.53
Pg&E Corp,0,2.62
Pg&E Corp,0,1.54
Phillips 66,0,33.19
Phillips 66,0,7.06
Phillips 66,0,18.49
Phillips 66,1,2.07
Phillips 66,0,3.74
Phillips 66,0,0.21
Phillips 66,0,2.78
Phillips 66,0,0.21
"Plains Gp Holdings, L.P.",0,2.85
"Plains Gp Holdings, L.P.",0,0.88
"Plains Gp Holdings, L.P.",0,5.9
"Plains Gp Holdings, L.P.",1,1.43
"Plains Gp Holdings, L.P.",0,2.35
"Plains Gp Holdings, L.P.",0,0.21
"Plains Gp Holdings, L.P.",0,0.49
"Plains Gp Holdings, L.P.",0,0.1
Pnc Financial Services Group Inc,0,35.61
Pnc Financial Services Group Inc,0,17.57
Pnc Financial Services Group Inc,0,12.24
Pnc Financial Services Group Inc,1,5.76
Pnc Financial Services Group Inc,0,3.06
Pnc Financial Services Group Inc,0,0.37
Pnc Financial Services Group Inc,0,2.54
Pnc Financial Services Group Inc,0,0.43
Pnc Financial Services Group Inc,0,0.17
Principal Financial Group Inc,0,27.98
Principal Financial Group Inc,0,12.23
Principal Financial Group Inc,0,18.94
Principal Financial Group Inc,1,9.13
Principal Financial Group Inc,0,3.25
Principal Financial Group Inc,0,0.17
Principal Financial Group Inc,0,2.47
Principal Financial Group Inc,0,0.12
Principal Financial Group Inc,0,0.13
Procter & Gamble Co,0,27.96
Procter & Gamble Co,0,6.19
Procter & Gamble Co,0,3.33
Procter & Gamble Co,1,2.49
Procter & Gamble Co,0,2.38
Procter & Gamble Co,0,0.4
Procter & Gamble Co,0,2.7
Progressive Corp,0,33.85
Progressive Corp,0,16.86
Progressive Corp,0,16.03
Progressive Corp,1,4.37
Progressive Corp,0,5.08
Progressive Corp,0,1.76
Progressive Corp,0,3.41
Progressive Corp,0,0.21
Prudential Financial Inc.,0,29.15
Prudential Financial Inc.,0,4.75
Prudential Financial Inc.,0,10.59
Prudential Financial Inc.,1,2.5
Prudential Financial Inc.,0,3.68
Prudential Financial Inc.,0,0.21
Prudential Financial Inc.,0,2.94
Prudential Financial Inc.,0,0.1
Qualcomm Inc,0,36.35
Qualcomm Inc,0,10.79
Qualcomm Inc,0,15.06
Qualcomm Inc,1,2.52
Qualcomm Inc,0,2.51
Qualcomm Inc,0,0.73
Qualcomm Inc,0,2.37
Qualcomm Inc,0,0.15
"Qurate Retail, Inc.",0,21.19
"Qurate Retail, Inc.",0,6.39
"Qurate Retail, Inc.",0,16.69
"Qurate Retail, Inc.",1,4.47
"Qurate Retail, Inc.",0,9.56
"Qurate Retail, Inc.",0,0
"Qurate Retail, Inc.",0,0.63
"Qurate Retail, Inc.",0,1.27
Reinsurance Group Of America Inc.,0,33.63
Reinsurance Group Of America Inc.,0,18.34
Reinsurance Group Of America Inc.,0,18.44
Reinsurance Group Of America Inc.,1,13.12
Reinsurance Group Of America Inc.,0,6.62
Reinsurance Group Of America Inc.,0,0.33
Reinsurance Group Of America Inc.,0,5.86
Reinsurance Group Of America Inc.,0,0.95
"Salesforce.Com, Inc.",0,36.5
"Salesforce.Com, Inc.",0,18.29
"Salesforce.Com, Inc.",0,12.46
"Salesforce.Com, Inc.",0,0.59
"Salesforce.Com, Inc.",1,2.72
"Salesforce.Com, Inc.",0,4.15
"Salesforce.Com, Inc.",0,0.16
"Salesforce.Com, Inc.",0,0.99
"Salesforce.Com, Inc.",0,2.31
"Salesforce.Com, Inc.",0,0.1
Sempra Energy,0,40.7
Sempra Energy,0,16.41
Sempra Energy,0,13.16
Sempra Energy,1,3.16
Sempra Energy,0,2.3
Sempra Energy,0,0.49
Sempra Energy,0,3.8
Sempra Energy,0,0.21
Southern Co,0,29.63
Southern Co,0,4.94
Southern Co,0,10.12
Southern Co,1,4.69
Southern Co,0,1.64
Southern Co,0,0.25
Southern Co,0,2.49
Southern Co,0,0.17
Southwest Airlines Co.,0,28.49
Southwest Airlines Co.,0,13.61
Southwest Airlines Co.,0,26.46
Southwest Airlines Co.,0,0.23
Southwest Airlines Co.,1,2.98
Southwest Airlines Co.,0,3.72
Southwest Airlines Co.,0,1.01
Southwest Airlines Co.,0,1.67
Southwest Airlines Co.,0,0.11
"Stanley Black & Decker, Inc.",0,38.91
"Stanley Black & Decker, Inc.",0,19.42
"Stanley Black & Decker, Inc.",0,16.43
"Stanley Black & Decker, Inc.",1,6.13
"Stanley Black & Decker, Inc.",0,4.14
"Stanley Black & Decker, Inc.",0,0.47
"Stanley Black & Decker, Inc.",0,3.22
"Stanley Black & Decker, Inc.",0,0.27
State Street Corporation,0,27.51
State Street Corporation,0,18.95
State Street Corporation,0,14.65
State Street Corporation,1,9.31
State Street Corporation,0,8.36
State Street Corporation,0,0.22
State Street Corporation,0,3.64
State Street Corporation,0,4.59
State Street Corporation,0,0.16
Stonex Group Inc,0,24.67
Stonex Group Inc,0,17.65
Stonex Group Inc,0,18.39
Stonex Group Inc,1,0.75
Stonex Group Inc,0,5.18
Stonex Group Inc,0,0
Stonex Group Inc,0,0.11
Stonex Group Inc,0,0.69
Stonex Group Inc,0,0.11
Stryker Corporation,0,32
Stryker Corporation,0,6.89
Stryker Corporation,0,12.79
Stryker Corporation,1,3.71
Stryker Corporation,0,8.26
Stryker Corporation,0,0
Stryker Corporation,0,0.14
Stryker Corporation,0,2.23
Synchrony Financial,0,29.07
Synchrony Financial,0,21.88
Synchrony Financial,0,20.82
Synchrony Financial,0,0.14
Synchrony Financial,1,6.61
Synchrony Financial,0,4.39
Synchrony Financial,0,2.46
Synchrony Financial,0,11.61
Synchrony Financial,0,0.24
Target Corp,0,42.63
Target Corp,0,9.78
Target Corp,0,15.02
Target Corp,1,2.98
Target Corp,0,4.2
Target Corp,0,1.11
Target Corp,0,2.74
Target Corp,0,0.23
Tenet Healthcare Corp,0,33.68
Tenet Healthcare Corp,0,29.21
Tenet Healthcare Corp,0,23.49
Tenet Healthcare Corp,0,2.01
Tenet Healthcare Corp,1,8.61
Tenet Healthcare Corp,0,7.3
Tenet Healthcare Corp,0,4.57
Tenet Healthcare Corp,0,2.45
Tenet Healthcare Corp,0,0.47
Texas Instruments Inc,0,40.22
Texas Instruments Inc,0,10.06
Texas Instruments Inc,0,15.95
Texas Instruments Inc,1,6.31
Texas Instruments Inc,0,3.52
Texas Instruments Inc,0,0.63
Texas Instruments Inc,0,2.79
Texas Instruments Inc,0,0.14
The Allstate Corp.,0,37.26
The Allstate Corp.,0,7.98
The Allstate Corp.,0,12.85
The Allstate Corp.,1,2.83
The Allstate Corp.,0,3.96
The Allstate Corp.,0,1.02
The Allstate Corp.,0,3.36
The Allstate Corp.,0,0.2
Thermo Fisher Scientific Inc.,0,38.43
Thermo Fisher Scientific Inc.,0,16.93
Thermo Fisher Scientific Inc.,0,12.39
Thermo Fisher Scientific Inc.,1,6.64
Thermo Fisher Scientific Inc.,0,4.59
Thermo Fisher Scientific Inc.,0,0.98
Thermo Fisher Scientific Inc.,0,3.35
Thermo Fisher Scientific Inc.,0,0
Travelers Companies Inc.,0,35.99
Travelers Companies Inc.,0,16.09
Travelers Companies Inc.,0,16.18
Travelers Companies Inc.,1,7.04
Travelers Companies Inc.,0,3.91
Travelers Companies Inc.,0,0.19
Travelers Companies Inc.,0,2.98
Travelers Companies Inc.,0,0.12
Truist Financial Corporation,0,28.77
Truist Financial Corporation,0,15.85
Truist Financial Corporation,0,11.41
Truist Financial Corporation,1,3.98
Truist Financial Corporation,0,1.98
Truist Financial Corporation,0,0.11
Truist Financial Corporation,0,2.56
Truist Financial Corporation,0,0.38
Truist Financial Corporation,0,0.14
"Uber Technologies, Inc.",0,19.55
"Uber Technologies, Inc.",0,25.03
"Uber Technologies, Inc.",0,5.89
"Uber Technologies, Inc.",0,0.18
"Uber Technologies, Inc.",0,0.57
"Uber Technologies, Inc.",1,0.57
"Uber Technologies, Inc.",0,3.78
"Uber Technologies, Inc.",0,4.02
"Uber Technologies, Inc.",0,3.17
"Uber Technologies, Inc.",0,5.33
"Uber Technologies, Inc.",0,0.47
Union Pacific Corp,0,34.27
Union Pacific Corp,0,13.38
Union Pacific Corp,0,12.9
Union Pacific Corp,0,0.6
Union Pacific Corp,1,4.99
Union Pacific Corp,0,4.37
Union Pacific Corp,0,0.33
Union Pacific Corp,0,3.02
"United Airlines Holdings, Inc",0,20.4
"United Airlines Holdings, Inc",0,9.91
"United Airlines Holdings, Inc",0,26.37
"United Airlines Holdings, Inc",0,0.37
"United Airlines Holdings, Inc",1,1.52
"United Airlines Holdings, Inc",0,9.87
"United Airlines Holdings, Inc",0,6.08
"United Airlines Holdings, Inc",0,1.87
"United Airlines Holdings, Inc",0,0.51
United Parcel Service Inc,0,21.74
United Parcel Service Inc,0,7
United Parcel Service Inc,0,8.01
United Parcel Service Inc,0,0.48
United Parcel Service Inc,1,1.8
United Parcel Service Inc,0,1.18
United Parcel Service Inc,0,1.97
United Parcel Service Inc,0,1.48
Unitedhealth Group Inc.,0,36.73
Unitedhealth Group Inc.,0,22.83
Unitedhealth Group Inc.,0,12.51
Unitedhealth Group Inc.,0,0.23
Unitedhealth Group Inc.,0,0.32
Unitedhealth Group Inc.,1,3.3
Unitedhealth Group Inc.,0,2.77
Unitedhealth Group Inc.,0,0.33
Unitedhealth Group Inc.,0,3.03
Unitedhealth Group Inc.,0,0.12
Universal Health Services Inc,0,34.7
Universal Health Services Inc,0,17.11
Universal Health Services Inc,0,20.78
Universal Health Services Inc,0,0.58
Universal Health Services Inc,1,4
Universal Health Services Inc,0,5.92
Universal Health Services Inc,0,0
Universal Health Services Inc,0,1.52
Universal Health Services Inc,0,3.07
Universal Health Services Inc,0,0.1
Unum Group Inc.,0,34.32
Unum Group Inc.,0,22.38
Unum Group Inc.,0,21.84
Unum Group Inc.,0,0.27
Unum Group Inc.,1,4.41
Unum Group Inc.,0,8.13
Unum Group Inc.,0,1.2
Unum Group Inc.,0,3.62
Unum Group Inc.,0,0.15
Us Bancorp,0,26.28
Us Bancorp,0,7.34
Us Bancorp,0,12.32
Us Bancorp,1,13.7
Us Bancorp,0,2.01
Us Bancorp,0,1.25
Us Bancorp,0,2.49
Us Bancorp,0,0.74
Us Bancorp,0,0.1
Valero Energy Corp,0,37.37
Valero Energy Corp,0,10.11
Valero Energy Corp,0,18.16
Valero Energy Corp,1,4.87
Valero Energy Corp,0,2.85
Valero Energy Corp,0,0.3
Valero Energy Corp,0,0.6
Valero Energy Corp,0,2.96
Valero Energy Corp,0,0.79
Verizon Communications Inc,0,30.83
Verizon Communications Inc,0,8.98
Verizon Communications Inc,0,11.41
Verizon Communications Inc,1,2.58
Verizon Communications Inc,0,2.1
Verizon Communications Inc,0,0.32
Verizon Communications Inc,0,3.1
Verizon Communications Inc,0,0.12
Viacomcbs Inc.,0,35.05
Viacomcbs Inc.,0,26.13
Viacomcbs Inc.,0,17.57
Viacomcbs Inc.,1,2.34
Viacomcbs Inc.,0,3.63
Viacomcbs Inc.,0,0.76
Viacomcbs Inc.,0,2.69
Viacomcbs Inc.,0,0.74
Visa Inc,0,22.32
Visa Inc,0,6.66
Visa Inc,0,4.99
Visa Inc,0,0.14
Visa Inc,1,4.04
Visa Inc,0,3.47
Visa Inc,0,0.11
Visa Inc,0,1.95
Visa Inc,0,0.11
Vistra Corp,0,30.06
Vistra Corp,0,28.06
Vistra Corp,0,25.39
Vistra Corp,0,0.94
Vistra Corp,1,4.04
Vistra Corp,0,6.06
Vistra Corp,0,3.73
Vistra Corp,0,2.54
Vistra Corp,0,1.03
Walmart Inc.,0,12.02
Walmart Inc.,0,2.52
Walmart Inc.,0,6.06
Walmart Inc.,0,0.41
Walmart Inc.,1,1.28
Walmart Inc.,0,0.98
Walmart Inc.,0,50.66
Walmart Inc.,0,0.44
Walt Disney Company (The),0,29.59
Walt Disney Company (The),0,6.28
Walt Disney Company (The),0,11.19
Walt Disney Company (The),0,0.11
Walt Disney Company (The),1,4.52
Walt Disney Company (The),0,2.17
Walt Disney Company (The),0,0.49
Walt Disney Company (The),0,2.38
Waste Management Inc,0,34.94
Waste Management Inc,0,7.51
Waste Management Inc,0,13.18
Waste Management Inc,0,4.41
Waste Management Inc,1,2.42
Waste Management Inc,0,2.87
Waste Management Inc,0,0.76
Waste Management Inc,0,3.19
Waste Management Inc,0,3.56
Wells Fargo & Company,0,22.53
Wells Fargo & Company,0,8.78
Wells Fargo & Company,0,12.02
Wells Fargo & Company,1,6.38
Wells Fargo & Company,0,2.86
Wells Fargo & Company,0,0.5
Wells Fargo & Company,0,2.23
Western Digital Corp,0,43.08
Western Digital Corp,0,13.29
Western Digital Corp,0,15.08
Western Digital Corp,0,0.11
Western Digital Corp,1,2.46
Western Digital Corp,0,5.59
Western Digital Corp,0,1.05
Western Digital Corp,0,0.24
Western Digital Corp,0,2.49
Western Digital Corp,0,0.22
Whirlpool Corp,0,33.42
Whirlpool Corp,0,17.94
Whirlpool Corp,0,36.85
Whirlpool Corp,1,3.39
Whirlpool Corp,0,7.52
Whirlpool Corp,0,2.77
Whirlpool Corp,0,0.11
World Fuel Services Corp,0,45.63
World Fuel Services Corp,0,19.84
World Fuel Services Corp,0,19.98
World Fuel Services Corp,1,2.23
World Fuel Services Corp,0,9.1
World Fuel Services Corp,0,0
World Fuel Services Corp,0,0.5
World Fuel Services Corp,0,3.38
World Fuel Services Corp,0,1.03
Xcel Energy Inc.,0,38.54
Xcel Energy Inc.,0,11
Xcel Energy Inc.,0,18.99
Xcel Energy Inc.,1,3.47
Xcel Energy Inc.,0,2.38
Xcel Energy Inc.,0,0.11
Xcel Energy Inc.,0,1.77
Xcel Energy Inc.,0,0.8
"Xpo Logistics, Inc.",0,19.55
"Xpo Logistics, Inc.",0,36.76
"Xpo Logistics, Inc.",0,13.25
"Xpo Logistics, Inc.",0,18.83
"Xpo Logistics, Inc.",0,1.6
"Xpo Logistics, Inc.",1,3.32
"Xpo Logistics, Inc.",0,7.31
"Xpo Logistics, Inc.",0,0.14
"Xpo Logistics, Inc.",0,2.87
"Xpo Logistics, Inc.",0,1.12