firm,symbol,return_on_assets
Autodesk,ADSK,0.0603
Steelcase,SCS,0.0209
Ciena,CIEN,0.0797
Workday,WDAY,-0.0136
Gartner,IT,0.0548
Broadridge Financial Solutions,BR,0.0861
Juniper Networks,JNPR,0.0321
Leggett & Platt,LEG,0.0564
Electronic Arts,EA,0.0536
CACI International,CACI,0.0612
T. Rowe Price,TROW,0.1889
Cerner,CERN,0.0726
Simon Property Group,SPG,0.035
Fortune Brands Home & Security,FBHS,0.0856
Robert Half International,RHI,0.0806
Apache,APA,
Activision Blizzard,ATVI,0.0877
Booz Allen Hamilton Holding,BAH,0.091
Intuit,INTU,0.1239
Northern Trust,NTRS,0.0075
Quest Diagnostics,DGX,0.1245
Motorola Solutions,MSI,0.096
Raymond James Financial,RJF,0.0198
Ryder System,R,0.0269
Wayfair,W,0.1098
J.B. Hunt Transport Services,JBHT,0.083
Jones Financial (Edward Jones),,
Lam Research,LRCX,0.1737
Fiserv,FISV,0.0162
Liberty Media,LSXMA,0.0355
Henry Schein,HSIC,0.0491