"firmhash","firm","sector","composite_relational_ig_practises","composite_formal_ig_practises","return_on_assets","log_n_employees","csr_index","sqrt_n_data_breaches","sqrt_age_in_years","dummy_sector_Health Care","dummy_sector_Technology","dummy_sector_Media","dummy_sector_Energy","dummy_sector_Financials","dummy_sector_Retailing","dummy_sector_Industrials","dummy_sector_Business Services","dummy_sector_Household Products","dummy_sector_Transportation","dummy_sector_Telecommunications"
95680362,"Danaher","Health Care",0.4541346631496573,0.0,0.042533,11.002099841204238,0.0003781659,0.0,5.890670590009257,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29577074,"Bank of New York Mellon","Financials",0.4865970952071559,0.5,0.00852,10.787255092704724,0.0697740956,0.0,3.7282703764614498,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7282506,"Southern Company","Energy",0.4826553516439161,0.0,0.027081,10.23792199998891,0.0059262577,0.0,8.700574693662482,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47147965,"PNC Financial Services Group","Financials",0.4942849599871743,0.25,0.017307,10.827805976097512,0.0656855915,1.0,7.224956747275377,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
62258152,"Union Pacific","Transportation",0.4598590683776803,0.25,0.079369,10.340451327703663,0.0095628203,0.0,7.238784428341543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26738076,"Occidental Petroleum","Energy",0.290669103151397,0.25,-0.055639,9.574983485564092,0.0108197465,1.0,5.932958789676531,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41405358,"Aflac","Financials",0.4603471386646163,0.25,0.017307,9.369819686521504,0.0567829361,2.23606797749979,8.160882305241266,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99974471,"Southwest Airlines","Transportation",0.3975299160567337,0.5,-0.104182,10.942650570059175,0.0147007016,1.0,7.368853370776216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
43863760,"Visa","Business Services",0.5080047595122726,0.25,0.112382,9.9281801651265,0.0173801507,0.0,3.794733192202055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
53578149,"Penske Automotive Group","Retailing",0.5139120202652541,0.25,0.029353,10.203592144986466,-0.0037518038,0.0,5.522680508593631,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
56444265,"Amgen","Health Care",0.5749956258597491,0.5,0.095063,10.060491301345794,0.0714678255,0.0,5.882176467941097,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28580986,"Qualcomm","Technology",0.4839582741161395,0.25,0.136758,10.621327345686446,0.0663542928,0.0,5.458937625582473,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40232297,"Thermo Fisher Scientific","Technology",0.4430794013261619,0.5,0.077275,11.225243392518449,0.0241955682,0.0,7.797435475847171,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59306024,"Paccar","Industrials",0.4914522573691927,0.25,0.035724,10.203592144986466,0.0042991491,1.0,7.042726744663604,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
44470487,"Bristol-Myers Squibb","Health Care",0.4254241989362144,0.25,0.039,10.308952660644293,0.0629975176,0.0,9.38083151964686,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56327554,"Dollar General","Retailing",0.3502845856028971,0.25,0.091333,11.870599909242044,-0.0202020202,1.0,4.795831523312719,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
38807133,"Hewlett Packard Enterprise","Technology",0.4510632912275254,0.5,0.020294,10.992049505350735,0.0967446772,1.0,2.4899799195977463,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81079250,"Abbott Laboratories","Health Care",0.4166552932216077,0.5,0.049426,11.580584113444043,0.0719247759,0.0,11.0227038425243,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98041190,"Northwestern Mutual","Financials",0.4591693873996575,0.25,0.023612,8.69349667588463,-0.0019206847,1.4142135623730951,12.83744522870497,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
69795220,"AbbVie","Health Care",0.4014809618097429,0.25,0.081874,10.757902880692196,0.0468474328,0.0,3.0166206257996717,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65808664,"Capital One Financial","Financials",0.4362661040063998,0.25,0.006692,10.858998997563564,0.0190067985,2.0,5.157518783291051,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38940501,"Exelon","Energy",0.4305439113447497,0.0,0.0212,10.395527831398702,0.0651473686,0.0,4.722287581247038,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10238564,"ConocoPhillips","Energy",0.4211631317120125,0.0,-0.015285,9.190137664658664,0.0240995063,0.0,4.427188724235731,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99007911,"Honeywell International","Industrials",0.4595385710032252,0.25,0.067476,11.635143097694478,0.0204311865,0.0,4.636809247747852,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10940099,"Progressive","Financials",0.6136317595178183,0.25,0.077622,10.635158087766824,0.0207389615,0.0,9.197825830053535,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71942107,"Deere","Industrials",0.4944223286350391,0.25,0.047326,11.151008232789549,0.0403517938,0.0,7.9498427657407165,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
24984086,"TJX","Retailing",0.4099967946451242,0.0,0.001597,12.56374708980199,0.0473840761,0.0,7.700649323271382,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
60987513,"Best Buy","Retailing",0.4526314939147655,0.25,0.093304,11.736069016284436,0.0694581281,1.4142135623730951,7.395944834840239,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
77223592,"Allstate","Financials",0.4674848494446403,0.5,0.043308,10.737157255721948,0.0464917373,1.0,9.518403227432634,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11663411,"Merck","Health Care",0.3914330949633005,0.5,0.032177,11.170435156023451,0.0877939493,0.0,7.134423592694787,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33131762,"Delta Air Lines","Transportation",0.3637844269431416,0.25,-0.084231,11.407564949312402,0.0189962018,1.4142135623730951,7.368853370776216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39511968,"American Express","Financials",0.464607167850205,0.25,0.016089,11.06663836234181,0.0175193693,2.0,13.099618315050252,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17081064,"HCA Healthcare","Health Care",0.5011619623821958,0.0,0.097273,12.409013489526863,0.0115620491,0.0,3.255764119219941,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89802512,"Pfizer","Health Care",0.4272091896462,0.5,0.039342,11.388495386592052,0.0261872419,0.0,8.899438184514796,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93968555,"Cisco Systems","Technology",0.7175109005311666,0.5,0.091162,11.258033215341438,0.1136123136,1.0,0.5477225575051661,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81280069,"Caterpillar","Industrials",0.4812722493355705,0.25,0.039522,11.535664951939715,0.0293045396,0.0,5.941380311005179,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
92536935,"Morgan Stanley","Financials",0.5213413570997307,0.5,0.011116,11.128688438303811,0.0372751769,1.0,9.879271228182777,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48599151,"Goldman Sachs Group","Financials",0.4553256621073239,0.5,0.008774,10.60905725309463,0.056313546,1.4142135623730951,5.522680508593631,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
94341056,"HP","Technology",0.4399862535821155,0.75,0.079752,10.87804719253426,0.1082213763,1.4142135623730951,4.8270073544588685,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17368181,"Prudential Financial (U.S.)","Financials",0.4911041007695316,0.25,-0.000175,10.849550656077264,0.0548602738,0.0,4.516635916254486,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92380288,"Humana","Health Care",0.5310756759456235,0.5,0.097317,10.736396675471232,0.0311204296,3.1622776601683795,7.7781745930520225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48056767,"Procter & Gamble","Household Products",0.4484170298996539,0.25,0.096226,11.502875129116727,0.0758322138,0.0,10.788883167408942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
55529641,"Walt Disney","Media",0.416745419331493,0.75,0.003627,12.220961258023925,0.0643749689,0.0,1.760681686165901,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32700926,"MetLife","Financials",0.4704853222929334,0.5,0.00638,10.799575577092764,0.0585239367,1.0,12.601587201618692,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31132966,"FedEx","Transportation",0.4312035012572548,0.25,0.0396,12.832540348072408,0.0271729335,1.0,4.868264577855234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
79142021,"Facebook","Technology",0.7241032789837611,0.25,0.139528,10.713128048531878,0.0203584046,2.0,4.09878030638384,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56495473,"Intel","Technology",0.428047444771589,0.25,0.10305,11.61548205329532,0.138528415,1.0,5.683308895353129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40837856,"Loweâ€™s","Retailing",0.3976717252285975,0.25,0.157935,12.468436909997664,0.0328097615,1.0,8.306623862918075,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3894558,"Centene","Health Care",0.4853091752403186,0.25,0.046826,11.171842615791332,0.0026775693,1.4142135623730951,6.123724356957945,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69858041,"Target","Retailing",0.4777143492221211,0.25,0.087847,12.815838217151068,0.0527126769,1.7320508075688772,10.936178491593852,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
55229784,"State Farm Insurance","Financials",0.4968748884378476,0.25,0.021749555,10.962527066084414,-0.0142857143,2.0,9.622889378975527,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16922709,"Johnson & Johnson","Health Care",0.418292395317218,0.25,0.075213,11.792071206399722,0.0667280357,0.0,11.571516754514075,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83192852,"Dell Technologies","Technology",0.514606505832109,0.5,0.025317,12.013700752882718,0.0729574066,0.0,2.8809720581775866,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96185568,"Citigroup","Financials",0.4189215214152335,0.5,0.005274,12.254862809699606,0.0737058599,1.7320508075688772,10.425929215182691,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31743452,"Anthem","Health Care",0.4863766637049051,0.25,0.062931,11.164785423481334,0.00513609,2.8284271247461903,4.171330722922842,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36053009,"Home Depot","Retailing",0.5045081721099669,0.5,0.211649,12.93771912524073,0.0422604535,2.449489742783178,6.557438524302,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4802185,"Bank of America","Financials",0.4891948605307111,0.25,0.006811,12.26672079648156,0.0160424505,2.449489742783178,7.259476565152615,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
56358397,"Microsoft","Technology",0.7613130067581265,0.75,0.128113,12.0015054797889,0.0922072393,1.0,5.263078946776307,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25821083,"Verizon Communications","Telecommunications",0.8420319490274167,0.5,0.064531,11.792071206399722,0.0465511713,1.0,6.1400325732035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
69943097,"JPMorgan Chase","Financials",0.4364181059350248,0.25,0.009592,12.450394348261582,0.020492445,1.7320508075688772,7.259476565152615,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26299420,"Cardinal Health","Health Care",0.4727100954415068,0.25,0.027605,10.778956289890028,0.0134099617,1.4142135623730951,6.488451279003334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46807785,"Costco Wholesale","Retailing",0.4732592018163261,0.25,0.077941,12.27606501735021,0.0047627341,0.0,5.8395205282625735,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
76661259,"Alphabet","Technology",0.7582107549440549,0.5,0.128979776,11.79147344835286,0.0373214908,1.0,2.4083189157584592,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20885145,"AmerisourceBergen","Health Care",0.4390598962234621,0.5,0.0328,9.998797732340453,0.0045374379,0.0,4.494441010848846,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10087241,"AT&T","Telecommunications",0.7427906332714042,0.5,0.029765,12.349133488370828,0.0396664812,2.8284271247461903,6.1400325732035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23217707,"McKesson","Health Care",0.4631879205884585,0.5,0.032177,11.156250521031495,0.0347309991,1.4142135623730951,5.186520991955976,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51333781,"Berkshire Hathaway","Financials",0.4638425439396942,0.5,0.051524,12.877740794412995,-0.0136476976,0.0,11.519548602267363,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42703456,"CVS Health","Health Care",0.4571794958606641,0.25,0.037687,12.577636201962656,0.0337485921,2.449489742783178,4.979959839195493,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24788477,"Apple","Technology",0.717486897718434,0.5,0.133611,11.898187865760873,0.0238053773,2.6457513110645907,6.670832032063167,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18101757,"Amazon","Retailing",0.7364031368281005,0.5,0.052381,13.933560224738088,-0.0370710388,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7268382,"Walmart","Retailing",0.4368104367011416,0.25,0.068886,14.603967918328545,0.0166492511,2.23606797749979,7.19027120489902,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
