"company","url"
"Mutual of Omaha Insurance","https://www.mutualofomaha.com/legal-services"
"ODP","https://www.officedepot.com/cm/help/privacy-statement"
"Boston Scientific","https://www.bostonscientific.com/en-US/privacy-policy.html"
"eBay","https://www.ebay.com/help/policies/member-behaviour-policies/user-privacy-notice-privacy-policy?id=4260"
"FirstEnergy","https://www.firstenergycorp.com/corporate/privacy_legal_statement.html"
"Entergy","https://www.entergy.com/privacy-policy/"
"Nvidia","https://www.nvidia.com/en-us/about-nvidia/privacy-policy/"
"IQVIA Holdings","https://www.iqvia.com/about-us/privacy/privacy-policy"
"Leidos Holdings","https://www.leidos.com/privacy"
"Discovery","https://corporate.discovery.com/privacy-policy/"
"J.C. Penney","https://www.jcpenney.com/m/privacy-notice"
"Adobe","https://www.adobe.com/privacy/policy.html"
"Navistar International","https://www.navistar.com/navistar/privacypolicy"
"Norfolk Southern","http://www.norfolksouthern.com/content/nscorp/en/privacy.html"
"Baxter International","https://www.baxter.com/policies-positions/global-privacy-policy"
"Universal Health Services","https://www.uhsinc.com/compliance-and-ethics/uhs-privacy-policies/"
"Fox","https://www.foxcorporation.com/privacy-policy/"
"Corning","https://www.corning.com/worldwide/en/privacy-policy.html"
"Xcel Energy","https://www.xcelenergy.com/billing_and_payment/customer_data_&_privacy/privacy_policy_and_customer_data_access"
"Live Nation Entertainment","https://help.livenation.com/s/article/Live-Nation-Entertainment-Privacy-Policy?language=en_US"
"Laboratory Corp. of America (Labcorp)","https://www.labcorp.com/hipaa-privacy/website-privacy-policy"
"Ally Financial","https://www.ally.com/privacy/"
"Charles Schwab","https://www.schwab.com/legal/privacy"
"Vistra Energy","https://www.vistracorp.com/privacy-policy/"
"Pacific Life","https://www.pacificlife.com/home/privacy-and-other-policies/our-privacy-promise.html"
"AutoZone","https://www.autozone.com/lp/termsAndConditions"
"CSX","https://www.csx.com/index.cfm/about-the-site/privacy/"
"Unum Group","https://www.unum.com/privacy/internet-privacy-notice"
"Bed Bath & Beyond","https://www.bedbathandbeyond.com/store/static/PrivacyPolicy"
"Group 1 Automotive","https://www.group1auto.com/privacy.html"
"Expedia Group","https://www.expediagroup.com/privacy-policy/"
"Murphy USA","https://www.murphyusa.com/About-Us/Terms-of-Use-and-Privacy-Policy/"
"CenterPoint Energy","https://www.centerpointenergy.com/en-us/corporate/legal/privacy-policy"
"Edison International","https://www.edison.com/home/privacy-notice.html"
"Sempra Energy","https://www.sempra.com/privacy"
"Consolidated Edison","https://www.coned.com/en/conedison-privacy-statement"
"Farmers Insurance Exchange","https://www.farmers.com/privacy-statement/"
"American Family Insurance Group","https://www.amfam.com/privacy-security"
"DTE Energy","https://newlook.dteenergy.com/wps/wcm/connect/dte-web/quicklinks/footer/customer+data+privacy+policy"
"Lithia Motors","na"
"DISH Network","https://my.dish.com/privacy-policy"
"L Brands","https://www.lb.com/communication/privacy-policy"
"Ameriprise Financial","https://www.ameriprise.com/binaries/content/assets/ampcom/ucm/p-038885.pdf"
"State Street","https://www.statestreet.com/utility/privacy-notice.html"
"BJ's Wholesale Club","https://www.bjs.com/content?template=B&espot_main=about_privacy"
"Kinder Morgan","https://pipeportal.kindermorgan.com/PortalUI/PrivacyPolicy.aspx?TSP=SNGD"
"Community Health Systems","https://www.chs.net/privacy_statement/"
"Qurate Retail","http://qurateretail.com/privacy.html"
"Guardian Life Ins. Co. of America","https://www.guardianlife.com/guardian-privacy-statement"
"Discover Financial Services","https://www.discover.com/privacy-statement/credit-cards-privacy-policy.html"
"DaVita","https://www.davita.com/privacy-policy"
"Illinois Tool Works","https://www.itw.com/privacy-statement/"
"Uber Technologies","https://www.uber.com/legal/en/document/?uclick_id=0d72a24e-9000-489e-8943-b8d7007c9a7e&country=united-states&lang=en&name=privacy-notice"
"Automatic Data Processing","https://www.adp.com/privacy.aspx"
"Reinsurance Group of America","https://www.rgare.com/privacy/web-privacy-policy"
"Parker-Hannifin","https://www.parker.com/portal/site/PARKER/menuitem.4450f18f18c082cdfd40eae8237ad1ca/?vgnextoid=760b904cf58b2110VgnVCM100000c9040d0aRCRD"
"Biogen","https://www.biogen.com/en_us/privacy-policy.html"
"Texas Instruments","https://www.ti.com/legal/terms-conditions/privacy-policy/north-america.html"
"Freeport-McMoRan","https://fcx.com/freeport-mcmoran-online-privacy-notice"
"Stanley Black & Decker","https://www.stanleyblackanddecker.com/privacy-policy/global-privacy-policy"
"BlackRock","https://www.blackrock.com/cash/en-gb/account-resources/ics-privacy-notice"
"Applied Materials","https://www.appliedmaterials.com/privacy"
"Truist Financial","https://www.wearetruist.com/privacy-notice"
"Estée Lauder","https://www.elcompanies.com/en/privacy-policy"
"Stryker","https://www.stryker.com/us/en/legal/privacy.html"
"Loews","https://www.loewshotels.com/privacy-policy"
"Omnicom Group","https://www.omnicomgroup.com/privacy-notice/"
"Booking Holdings","https://www.bookingholdings.com/privacy-policy/"
"C.H. Robinson Worldwide","https://www.chrobinson.com/en-us/privacy-notice/"
"Waste Management","https://www.wm.com/us/en/privacy"
"Nordstrom","https://www.nordstrom.com/browse/customer-service/policy/privacy"
"American Electric Power","https://aep.com/privacy"
"Colgate-Palmolive","https://www.colgatepalmolive.com/en-us/legal-privacy-policy"
"Ross Stores","https://www.rossstores.com/privacy-policy/"
"Principal Financial","https://www.principal.com/privacy-policies"
"Aramark","https://www.aramark.com/other/privacy-policy"
"Gap","https://www.gapinc.com/en-gb/careers/careers-privacy-policy"
"Western Digital","https://www.westerndigital.com/legal/privacy-statement"
"Dominion Energy","https://www.dominionenergy.com/privacy"
"XPO Logistics","https://www.xpo.com/privacy-policy/"
"Marsh & McLennan","https://www.mmc.com/privacy-statement.html"
"Cognizant Technology Solutions","https://www.cognizant.com/privacy-notice"
"Molina Healthcare","https://www.molinahealthcare.com/members/common/en-us/terms_privacy.aspx"
"Mastercard","https://mea.mastercard.com/en-region-mea/about-mastercard/what-we-do/privacy.html"
"Salesforce","https://www.salesforce.com/company/privacy/"
"PG&E","https://www.pge.com/en_US/about-pge/company-information/privacy-policy/privacy-policy/privacy-policy.page"
"Lincoln National","https://www.lfg.com/public/privacy/onlineprivacypolicy"
"BD","https://www.bd.com/en-us/privacy-statement"
"EOG Resources","na"
"HollyFrontier","https://hollyfrontier.com/privacy-statement/default.aspx"
"PayPal Holdings","https://www.paypal.com/us/webapps/mpp/ua/privacy-full"
"Jones Lang LaSalle (JLL)","https://www.us.jll.com/en/mobile-app-privacy-statement"
"CDW","https://www.cdw.com/content/cdw/en/terms-conditions/privacy-notice.html"
"Emerson Electric","https://www.emerson.com/en-us/privacy-notice"
"Kimberly-Clark","https://www.kimberly-clark.com/en/privacy"
"Tenet Healthcare","https://www.tenethealth.com/privacy"
"CarMax","https://www.carmax.com/privacy-policy"
"NextEra Energy","https://www.nexteraenergy.com/privacy-policy.html"
"Synchrony Financial","https://www.synchrony.com/privacy-policy.html"
"Kohl’s","https://www.kohls.com/feature/privacy-policy.jsp"
"Netflix","https://help.netflix.com/legal/privacy"
"Whirlpool","https://www.whirlpoolcorp.com/privacy-statement/"
"Danaher","https://www.danaher.com/sites/default/files/inline-files/Danaher%20Privacy%20Policy.pdf"
"Hartford Financial Services Group","https://www.thehartford.com/online-privacy-policy"
"Bank of New York Mellon","https://www.bnymellon.com/us/en/privacy-policy.html"
"ManpowerGroup","https://www.manpowergroup.com/privacy-policy"
"DXC Technology","https://www.dxc.technology/privacy"
"AutoNation","https://www.autonation.com/about"
"Southern Company","https://www.southerncompany.com/privacy-statement.html"
"PNC Financial Services Group","https://www.pnc.com/en/privacy-policy.html"
"Union Pacific","https://www.up.com/aboutup/corporate_info/privacy/index.htm"
"Occidental Petroleum","https://www.oxy.com/Information/Pages/Privacy-Policy.aspx"
"Aflac","https://www.aflac.com/about-aflac/privacy-policy.aspx"
"Eli Lilly","https://www.lilly.com/privacy"
"Lumen Technologies","https://www.lumen.com/en-us/about/legal/privacy-notice.html"
"Halliburton","https://www.halliburton.com/en-US/about-us/legal/privacy-policy.html"
"Southwest Airlines","https://www.southwest.com/html/about-southwest/terms-and-conditions/privacy-policy-pol.html"
"Gilead Sciences","https://www.gilead.com/privacy-statements"
"Broadcom","https://www.broadcom.com/company/legal/privacy/policy"
"Visa","https://usa.visa.com/dam/VCOM/global/support-legal/documents/privacy-notice.pdf"
"Penske Automotive Group","https://www.penskeautomotive.com/privacy/privacy-policy/"
"Amgen","https://www.amgen.com/privacy-statement"
"Micron Technology","https://www.micron.com/privacy"
"Cummins","https://www.cummins.com/privacy-and-legal"
"Dollar Tree","https://www.dollartree.com/privacy-policy"
"Baker Hughes","https://www.bakerhughes.com/privacy"
"CBRE Group","https://www.cbre.com/about/privacy-policy"
"NGL Energy Partners","http://www.nglenergypartners.com/privacy-policy"
"Qualcomm","https://www.qualcomm.com/site/privacy"
"PBF Energy","https://www.pbfenergy.com/privacy-statement/"
"Duke Energy","https://www.duke-energy.com/Legal/Privacy"
"Jabil","https://www.jabil.com/about-us/the-jabil-code/privacy.html"
"Macy’s","https://www.macysinc.com/privacy-policy"
"Thermo Fisher Scientific","https://www.thermofisher.com/us/en/home/global/privacy-policy.html"
"Paccar","https://www.paccar.com/privacy.aspx"
"Bristol-Myers Squibb","https://www.bms.com/privacy-policy.html"
"U.S. Bancorp","https://www.usbank.com/about-us-bank/privacy/security.html"
"Dollar General","https://www.dollargeneral.com/privacy-policy.html"
"ViacomCBS","https://www.viacomcbsprivacy.com/en/policy?r=www.viacomcbs.com"
"Hewlett Packard Enterprise","https://www.hpe.com/us/en/legal/privacy.html"
"Travelers Cos.","https://www.travelers.com/about-travelers/privacy-statements"
"Abbott Laboratories","https://www.abbott.com/privacy-policy.html"
"Northwestern Mutual","https://www.northwesternmutual.com/online-privacy-statement/"
"Enterprise Products Partners","https://www.enterpriseproducts.com/privacy-policy"
"StoneX Group","https://my.stonex.com/s/privacy-policy?language=en_US"
"AbbVie","https://www.abbvie.com/privacy.html"
"Plains GP Holdings","https://www.plainsallamerican.com/privacy-policy"
"Capital One Financial","https://www.capitalone.com/privacy/online-privacy-policy"
"Exelon","https://www.exeloncorp.com/privacy-policy"
"USAA","https://www.usaa.com/inet/wc/security_protect_your_personal_information"
"ConocoPhillips","https://www.conocophillips.com/legal-and-privacy-policy/"
"Honeywell International","https://www.honeywell.com/us/en/privacy-statement"
"World Fuel Services","https://www.wfscorp.com/en/privacy-policy"
"Massachusetts Mutual Life","https://www.massmutual.com/legal/privacy-policy"
"Progressive","http://www.progressive.com/privacy/"
"Deere","https://www.deere.com/en/privacy-and-data/"
"Oracle","https://www.oracle.com/legal/privacy/privacy-policy.html"
"TIAA","https://www.tiaa.org/public/support/privacy/privacy-notice"
"TJX","https://www.tjx.com/privacy"
"Liberty Mutual Insurance Group","https://www.libertymutualgroup.com/general/about-lm/corporate-information/website-and-data-privacy"
"United Airlines Holdings","https://www.united.com/ual/en/us/fly/privacy.html"
"Best Buy","https://www.bestbuy.com/site/help-topics/privacy-policy/pcmcat204400050062.c?id=pcmcat204400050062"
"Nationwide","https://www.nationwide.com/personal/privacy-security/pages/privacy"
"New York Life Insurance","https://www.newyorklife.com/about/privacy-policy"
"Allstate","https://www.allstate.com/about/privacy-statement-aic.aspx"
"Charter Communications","https://policy.charter.com/"
"American Airlines Group","https://www.aa.com/i18n/customer-service/support/privacy-policy.jsp"
"Merck","https://www.merck.com/company-overview/policies-and-positions/"
"Delta Air Lines","https://www.delta.com/us/en/legal/privacy-and-security"
"American Express","https://www.americanexpress.com/us/company/privacy-center/online-privacy-disclosures/"
"American International Group","https://www.aig.com/privacy-policy"
"HCA Healthcare","https://hcahealthcare.com/legal/index.dot#privacy-policy"
"Pfizer","https://www.pfizer.com/Privacy"
"Cisco Systems","https://www.cisco.com/c/en/us/about/legal/privacy-full.html"
"Caterpillar","https://www.caterpillar.com/en/legal-notices/dataprivacy.html"
"Morgan Stanley","https://www.morganstanley.com/disclaimers/us-privacy-policy-and-notice"
"Goldman Sachs Group","https://www.goldmansachs.com/privacy-and-cookies/index.html"
"Energy Transfer","https://www.energytransfer.com/privacy-policy/"
"HP","https://www8.hp.com/us/en/privacy/privacy.html"
"Prudential Financial (U.S.)","https://www.prudential.com/links/privacy-policy"
"Humana","https://www.humana.com/legal/privacy"
"Procter & Gamble","https://www.pg.com/privacy/english/privacy_statement.shtml"
"Walt Disney","https://privacy.thewaltdisneycompany.com/en/current-privacy-policy/"
"MetLife","https://www.metlife.com/about-us/privacy-policy/online-privacy-policy/"
"FedEx","https://www.fedex.com/en-us/trust-center/privacy.html"
"Facebook","https://www.facebook.com/privacy/explanation"
"Intel","https://www.intel.com/content/www/us/en/privacy/intel-privacy-notice.html"
"Lowe’s","https://www.lowes.com/l/privacy-and-security-statement.html"
"UPS","https://www.ups.com/us/en/help-center/legal-terms-conditions/privacy-notice.page"
"Centene","https://www.centene.com/privacy-policy.html"
"Freddie Mac","http://www.freddiemac.com/terms/privacy.html"
"IBM","https://www.ibm.com/privacy"
"Target","https://www.target.com/c/target-privacy-policy/-/N-4sr7p"
"State Farm Insurance","https://www.statefarm.com/customer-care/privacy-security/privacy"
"Johnson & Johnson","https://www.jnj.com/corporate/privacy-policy"
"Dell Technologies","https://www.delltechnologies.com/content/dam/digitalassets/active/en/unauth/quick-reference-guides/partner/Dell-EMC_Customer_Data_Terms.pdf"
"General Electric","https://www.ge.com/privacy"
"Valero Energy","https://www.valero.com/privacy-statement"
"Citigroup","https://www.citigroup.com/citi/privacy.html"
"Wells Fargo","https://www.wellsfargo.com/privacy-security/online/"
"Anthem","https://www.antheminc.com/Privacy/index.htm"
"Comcast","https://www.xfinity.com/privacy/policy"
"Phillips 66","https://hr.phillips66.com/Legal-And-Privacy-Statement.aspx"
"Home Depot","https://www.homedepot.com/privacy/Privacy_Security"
"Bank of America","https://www.bankofamerica.com/security-center/privacy-overview/"
"Fannie Mae","https://www.fanniemae.com/about-us/corporate-governance/online-privacy-notice"
"Marathon Petroleum","https://www.marathonpetroleum.com/Privacy-Policy/"
"Microsoft","https://privacy.microsoft.com/en-us/privacystatement"
"Verizon Communications","https://www.verizon.com/about/privacy/"
"JPMorgan Chase","https://www.jpmorgan.com/privacy"
"Cardinal Health","https://www.cardinalhealth.com/en/support/privacy-policy.html"
"Chevron","https://www.chevron.com/privacy"
"Costco Wholesale","https://www.costco.com/privacy-policy.html"
"Cigna","https://www.cigna.com/assets/docs/privacy-notices-and-forms/final-on-line-with-incentive-language.pdf?WT.z_nav=privacyinformation%3BBody%3BOnline%20and%20Mobile%20Privacy%20Statement"
"Alphabet","https://abc.xyz/investor/other/google-code-of-conduct/"
"AmerisourceBergen","https://amerisourcebergen.com/global-privacy-statement"
"AT&T","https://about.att.com/csr/home/privacy/full_privacy_policy.html"
"McKesson","https://www.mckesson.com/Privacy-Notice/#:~:text=We will retain your personal,disputes and enforce our agreements."
"UnitedHealth Group","https://www.unitedhealthgroup.com/privacy.html#:~:text=Protecting personal information is important,in the course of business."
"Berkshire Hathaway","https://www.bhhs.com/privacy-policy"
"CVS Health","https://cvshealth.com/privacy-policy"
"Apple","https://www.apple.com/legal/privacy/en-ww/"
"Exxon Mobil","https://corporate.exxonmobil.com/Global-legal-pages/privacy-policy"
"Amazon","https://www.amazon.com/gp/help/customer/display.html?nodeId=GX7NJQ4ZB8MHFRNJ"
"Walmart","https://corporate.walmart.com/privacy-security/walmart-privacy-policy"
