firm,type,share_percent
Abbott Laboratories,Bank,29.710000000000008
Abbott Laboratories,Corporate,15.540000000000001
Abbott Laboratories,Financial company,3.7399999999999998
Abbott Laboratories,Insurance company,4.25
Abbott Laboratories,"Mutual and pension fund, nominee, trust, trustee",2.9600000000000004
Abbott Laboratories,Private equity firm,0.11
Abbott Laboratories,"Public authority, state, government",2.3199999999999994
Abbvie Inc.,Bank,24.909999999999997
Abbvie Inc.,Corporate,10.649999999999999
Abbvie Inc.,Financial company,3.3400000000000003
Abbvie Inc.,"Foundation, research Institute",0.59
Abbvie Inc.,Insurance company,2.6699999999999995
Abbvie Inc.,"Mutual and pension fund, nominee, trust, trustee",3.15
Abbvie Inc.,Private equity firm,0.44999999999999996
Abbvie Inc.,"Public authority, state, government",2.4399999999999995
Abbvie Inc.,Venture capital,0.11
Adobe Inc,Bank,34.75
Adobe Inc,Corporate,16.250000000000004
Adobe Inc,Financial company,15.330000000000005
Adobe Inc,Hedge fund,0.38
Adobe Inc,Insurance company,4.01
Adobe Inc,"Mutual and pension fund, nominee, trust, trustee",5.61
Adobe Inc,Private equity firm,0.54
Adobe Inc,"Public authority, state, government",2.71
Adobe Inc,Venture capital,0.11
Ally Financial Inc,Bank,38.72999999999998
Ally Financial Inc,Corporate,19.32
Ally Financial Inc,Financial company,31.029999999999994
Ally Financial Inc,Hedge fund,1.4799999999999998
Ally Financial Inc,Insurance company,12.409999999999998
Ally Financial Inc,"Mutual and pension fund, nominee, trust, trustee",6.53
Ally Financial Inc,Private equity firm,2.78
Ally Financial Inc,"Public authority, state, government",3.49
Ally Financial Inc,Venture capital,0.42000000000000004
Alphabet Inc.,Bank,21.95
Alphabet Inc.,Corporate,10.780000000000001
Alphabet Inc.,Financial company,9.699999999999998
Alphabet Inc.,Insurance company,2.98
Alphabet Inc.,"Mutual and pension fund, nominee, trust, trustee",3.06
Alphabet Inc.,One or more named individuals or families,5.15
Alphabet Inc.,Private equity firm,0.23
Alphabet Inc.,"Public authority, state, government",2.64
"Amazon.Com, Inc.",Bank,25.159999999999993
"Amazon.Com, Inc.",Corporate,10.410000000000002
"Amazon.Com, Inc.",Financial company,8.05
"Amazon.Com, Inc.",Hedge fund,0.24
"Amazon.Com, Inc.",Insurance company,2.2299999999999995
"Amazon.Com, Inc.","Mutual and pension fund, nominee, trust, trustee",1.9700000000000002
"Amazon.Com, Inc.",One or more named individuals or families,0.0
"Amazon.Com, Inc.",Private equity firm,0.38
"Amazon.Com, Inc.","Public authority, state, government",2.0500000000000003
American Airlines Group Inc.,Bank,20.31
American Airlines Group Inc.,Corporate,8.299999999999999
American Airlines Group Inc.,Financial company,25.290000000000003
American Airlines Group Inc.,Hedge fund,1.01
American Airlines Group Inc.,Insurance company,1.05
American Airlines Group Inc.,"Mutual and pension fund, nominee, trust, trustee",7.58
American Airlines Group Inc.,Private equity firm,2.73
American Airlines Group Inc.,"Public authority, state, government",1.18
American Electric Power Company Inc,Bank,38.08000000000001
American Electric Power Company Inc,Corporate,10.269999999999998
American Electric Power Company Inc,Financial company,12.449999999999998
American Electric Power Company Inc,Insurance company,4.610000000000001
American Electric Power Company Inc,"Mutual and pension fund, nominee, trust, trustee",2.22
American Electric Power Company Inc,Private equity firm,0.34
American Electric Power Company Inc,"Public authority, state, government",1.7900000000000003
American Electric Power Company Inc,Venture capital,0.12
American Express Company,Bank,27.439999999999998
American Express Company,Corporate,11.909999999999997
American Express Company,Financial company,11.979999999999999
American Express Company,Insurance company,22.83
American Express Company,"Mutual and pension fund, nominee, trust, trustee",3.61
American Express Company,One or more named individuals or families,0.28
American Express Company,Private equity firm,1.47
American Express Company,"Public authority, state, government",2.3199999999999994
American International Group Inc.,Bank,46.93999999999998
American International Group Inc.,Corporate,9.559999999999999
American International Group Inc.,Financial company,20.230000000000004
American International Group Inc.,Insurance company,5.68
American International Group Inc.,"Mutual and pension fund, nominee, trust, trustee",3.5700000000000003
American International Group Inc.,One or more named individuals or families,0.0
American International Group Inc.,Private equity firm,1.08
American International Group Inc.,"Public authority, state, government",2.48
"Ameriprise Financial, Inc.",Bank,38.84999999999997
"Ameriprise Financial, Inc.",Corporate,9.760000000000002
"Ameriprise Financial, Inc.",Financial company,24.57
"Ameriprise Financial, Inc.",Insurance company,2.6100000000000003
"Ameriprise Financial, Inc.","Mutual and pension fund, nominee, trust, trustee",7.130000000000001
"Ameriprise Financial, Inc.",Private equity firm,0.23
"Ameriprise Financial, Inc.","Public authority, state, government",3.5200000000000005
"Ameriprise Financial, Inc.",Venture capital,0.2
Amerisourcebergen Corp,Bank,21.920000000000005
Amerisourcebergen Corp,Corporate,39.05999999999998
Amerisourcebergen Corp,Financial company,7.990000000000001
Amerisourcebergen Corp,Insurance company,2.3600000000000003
Amerisourcebergen Corp,"Mutual and pension fund, nominee, trust, trustee",5.7700000000000005
Amerisourcebergen Corp,Private equity firm,0.30000000000000004
Amerisourcebergen Corp,"Public authority, state, government",2.8099999999999996
Amerisourcebergen Corp,Venture capital,0.85
Amgen Incorporated,Bank,34.14999999999999
Amgen Incorporated,Corporate,13.99
Amgen Incorporated,Financial company,15.049999999999999
Amgen Incorporated,Insurance company,2.5300000000000002
Amgen Incorporated,"Mutual and pension fund, nominee, trust, trustee",2.6199999999999997
Amgen Incorporated,Private equity firm,0.41000000000000003
Amgen Incorporated,"Public authority, state, government",2.6999999999999997
Amgen Incorporated,Venture capital,0.15
Anthem Inc.,Bank,38.83000000000001
Anthem Inc.,Corporate,17.47
Anthem Inc.,Financial company,17.74
Anthem Inc.,"Foundation, research Institute",1.34
Anthem Inc.,Insurance company,4.13
Anthem Inc.,"Mutual and pension fund, nominee, trust, trustee",4.470000000000001
Anthem Inc.,Private equity firm,0.98
Anthem Inc.,"Public authority, state, government",2.95
Apple Inc.,Bank,18.709999999999997
Apple Inc.,Corporate,5.890000000000001
Apple Inc.,Financial company,1.59
Apple Inc.,Insurance company,1.8399999999999999
Apple Inc.,"Mutual and pension fund, nominee, trust, trustee",2.14
Apple Inc.,Private equity firm,0.22999999999999998
Apple Inc.,"Public authority, state, government",2.51
Applied Materials Inc,Bank,24.490000000000002
Applied Materials Inc,Corporate,16.519999999999996
Applied Materials Inc,Financial company,6.44
Applied Materials Inc,Hedge fund,0.13
Applied Materials Inc,Insurance company,2.2099999999999995
Applied Materials Inc,"Mutual and pension fund, nominee, trust, trustee",4.109999999999999
Applied Materials Inc,One or more named individuals or families,0.12
Applied Materials Inc,Private equity firm,0.77
Applied Materials Inc,"Public authority, state, government",3.03
Applied Materials Inc,Venture capital,0.11
Aramark,Bank,31.970000000000002
Aramark,Corporate,41.56
Aramark,Financial company,37.150000000000006
Aramark,Hedge fund,0.89
Aramark,Insurance company,1.27
Aramark,"Mutual and pension fund, nominee, trust, trustee",3.7600000000000007
Aramark,Private equity firm,3.2399999999999998
Aramark,"Public authority, state, government",2.28
Aramark,Venture capital,0.58
Automatic Data Processing Inc,Bank,38.09
Automatic Data Processing Inc,Corporate,6.52
Automatic Data Processing Inc,Financial company,15.329999999999998
Automatic Data Processing Inc,Hedge fund,0.0
Automatic Data Processing Inc,Insurance company,5.950000000000001
Automatic Data Processing Inc,"Mutual and pension fund, nominee, trust, trustee",9.469999999999999
Automatic Data Processing Inc,Private equity firm,0.91
Automatic Data Processing Inc,"Public authority, state, government",2.68
Autonation Inc,Bank,19.51
Autonation Inc,Corporate,15.580000000000004
Autonation Inc,Financial company,19.039999999999996
Autonation Inc,Insurance company,1.11
Autonation Inc,"Mutual and pension fund, nominee, trust, trustee",7.560000000000001
Autonation Inc,One or more named individuals or families,13.35
Autonation Inc,Private equity firm,1.8
Autonation Inc,"Public authority, state, government",6.989999999999999
Autonation Inc,Venture capital,24.79
Autozone Inc,Bank,31.259999999999994
Autozone Inc,Corporate,12.56
Autozone Inc,Financial company,11.959999999999999
Autozone Inc,Hedge fund,0.11
Autozone Inc,Insurance company,4.670000000000001
Autozone Inc,"Mutual and pension fund, nominee, trust, trustee",7.65
Autozone Inc,Private equity firm,1.56
Autozone Inc,"Public authority, state, government",5.7
Autozone Inc,Venture capital,0.2
Baker Hughes Company,Bank,11.359999999999998
Baker Hughes Company,Corporate,49.839999999999996
Baker Hughes Company,Financial company,11.12
Baker Hughes Company,Insurance company,2.06
Baker Hughes Company,"Mutual and pension fund, nominee, trust, trustee",1.6600000000000001
Baker Hughes Company,Private equity firm,0.57
Baker Hughes Company,"Public authority, state, government",1.4
Bank Of America Corporation,Bank,22.630000000000006
Bank Of America Corporation,Corporate,9.16
Bank Of America Corporation,Financial company,10.4
Bank Of America Corporation,Insurance company,3.08
Bank Of America Corporation,"Mutual and pension fund, nominee, trust, trustee",1.8199999999999998
Bank Of America Corporation,Private equity firm,0.11
Bank Of America Corporation,"Public authority, state, government",2.3699999999999997
Bank Of America Corporation,Self ownership,0.14
Bank Of America Corporation,Venture capital,0.13
Bank Of New York Mellon Corporation,Bank,23.130000000000017
Bank Of New York Mellon Corporation,Corporate,18.919999999999998
Bank Of New York Mellon Corporation,Financial company,14.19
Bank Of New York Mellon Corporation,Insurance company,12.05
Bank Of New York Mellon Corporation,"Mutual and pension fund, nominee, trust, trustee",5.4399999999999995
Bank Of New York Mellon Corporation,Private equity firm,0.93
Bank Of New York Mellon Corporation,"Public authority, state, government",2.68
Bank Of New York Mellon Corporation,Self ownership,0.57
Baxter International Inc,Bank,36.25
Baxter International Inc,Corporate,16.400000000000002
Baxter International Inc,Financial company,13.22
Baxter International Inc,Hedge fund,0.16
Baxter International Inc,Insurance company,5.119999999999999
Baxter International Inc,"Mutual and pension fund, nominee, trust, trustee",4.03
Baxter International Inc,Private equity firm,3.09
Baxter International Inc,"Public authority, state, government",5.089999999999998
Baxter International Inc,Venture capital,0.26
"Becton, Dickinson And Company",Bank,36.89000000000001
"Becton, Dickinson And Company",Corporate,11.950000000000001
"Becton, Dickinson And Company",Financial company,17.950000000000003
"Becton, Dickinson And Company",Hedge fund,0.2
"Becton, Dickinson And Company",Insurance company,3.49
"Becton, Dickinson And Company","Mutual and pension fund, nominee, trust, trustee",4.119999999999999
"Becton, Dickinson And Company",Private equity firm,0.98
"Becton, Dickinson And Company","Public authority, state, government",2.2800000000000002
Berkshire Hathaway Inc.,Bank,12.939999999999996
Berkshire Hathaway Inc.,Corporate,5.750000000000003
Berkshire Hathaway Inc.,Financial company,4.5200000000000005
Berkshire Hathaway Inc.,"Foundation, research Institute",0.0
Berkshire Hathaway Inc.,Hedge fund,0.22
Berkshire Hathaway Inc.,Insurance company,1.2400000000000002
Berkshire Hathaway Inc.,"Mutual and pension fund, nominee, trust, trustee",1.91
Berkshire Hathaway Inc.,One or more named individuals or families,0.0
Berkshire Hathaway Inc.,Private equity firm,0.1
Berkshire Hathaway Inc.,"Public authority, state, government",1.8800000000000001
Berkshire Hathaway Inc.,Venture capital,0.27
Biogen Inc.,Financial company,0.0
"Bj'S Wholesale Club Holdings, Inc.",Bank,53.28999999999998
"Bj'S Wholesale Club Holdings, Inc.",Corporate,25.929999999999996
"Bj'S Wholesale Club Holdings, Inc.",Financial company,20.4
"Bj'S Wholesale Club Holdings, Inc.",Hedge fund,1.07
"Bj'S Wholesale Club Holdings, Inc.",Insurance company,5.619999999999999
"Bj'S Wholesale Club Holdings, Inc.","Mutual and pension fund, nominee, trust, trustee",6.16
"Bj'S Wholesale Club Holdings, Inc.",One or more named individuals or families,0.13
"Bj'S Wholesale Club Holdings, Inc.",Private equity firm,2.01
"Bj'S Wholesale Club Holdings, Inc.","Public authority, state, government",2.05
"Bj'S Wholesale Club Holdings, Inc.",Venture capital,1.26
"Blackrock, Inc",Bank,24.650000000000013
"Blackrock, Inc",Corporate,17.73
"Blackrock, Inc",Financial company,10.229999999999999
"Blackrock, Inc",Insurance company,2.93
"Blackrock, Inc","Mutual and pension fund, nominee, trust, trustee",2.25
"Blackrock, Inc",Private equity firm,0.12
"Blackrock, Inc","Public authority, state, government",12.660000000000002
"Blackrock, Inc",Self ownership,6.29
Booking Holdings Inc.,Bank,32.46000000000002
Booking Holdings Inc.,Corporate,18.33000000000001
Booking Holdings Inc.,Financial company,18.990000000000002
Booking Holdings Inc.,"Foundation, research Institute",0.23
Booking Holdings Inc.,Hedge fund,1.46
Booking Holdings Inc.,Insurance company,5.14
Booking Holdings Inc.,"Mutual and pension fund, nominee, trust, trustee",6.549999999999999
Booking Holdings Inc.,One or more named individuals or families,0.14
Booking Holdings Inc.,Private equity firm,2.56
Booking Holdings Inc.,"Public authority, state, government",2.64
Booking Holdings Inc.,Venture capital,0.15
Boston Scientific Corp,Bank,35.12999999999999
Boston Scientific Corp,Corporate,23.19
Boston Scientific Corp,Financial company,16.63
Boston Scientific Corp,Insurance company,5.44
Boston Scientific Corp,"Mutual and pension fund, nominee, trust, trustee",4.239999999999999
Boston Scientific Corp,Private equity firm,2.5900000000000003
Boston Scientific Corp,"Public authority, state, government",2.95
Bristol-Myers Squibb Company,Bank,34.22999999999999
Bristol-Myers Squibb Company,Corporate,13.660000000000002
Bristol-Myers Squibb Company,Financial company,13.26
Bristol-Myers Squibb Company,"Foundation, research Institute",0.26
Bristol-Myers Squibb Company,Hedge fund,0.2
Bristol-Myers Squibb Company,Insurance company,2.72
Bristol-Myers Squibb Company,"Mutual and pension fund, nominee, trust, trustee",2.73
Bristol-Myers Squibb Company,Private equity firm,0.26
Bristol-Myers Squibb Company,"Public authority, state, government",2.91
Bristol-Myers Squibb Company,Venture capital,0.13
Broadcom Inc.,Bank,28.36000000000001
Broadcom Inc.,Corporate,29.710000000000008
Broadcom Inc.,Financial company,10.069999999999999
Broadcom Inc.,Insurance company,2.09
Broadcom Inc.,"Mutual and pension fund, nominee, trust, trustee",2.14
Broadcom Inc.,One or more named individuals or families,2.42
Broadcom Inc.,Private equity firm,0.1
Broadcom Inc.,"Public authority, state, government",2.28
Broadcom Inc.,Venture capital,0.1
"C.H. Robinson Worldwide, Inc.",Bank,47.69
"C.H. Robinson Worldwide, Inc.",Corporate,11.520000000000001
"C.H. Robinson Worldwide, Inc.",Financial company,29.63000000000001
"C.H. Robinson Worldwide, Inc.",Insurance company,2.7699999999999996
"C.H. Robinson Worldwide, Inc.","Mutual and pension fund, nominee, trust, trustee",6.459999999999999
"C.H. Robinson Worldwide, Inc.",Private equity firm,1.22
"C.H. Robinson Worldwide, Inc.","Public authority, state, government",3.2500000000000004
"C.H. Robinson Worldwide, Inc.",Venture capital,0.32
Capital One Financial Corporation,Bank,21.599999999999998
Capital One Financial Corporation,Corporate,12.259999999999994
Capital One Financial Corporation,Financial company,7.9300000000000015
Capital One Financial Corporation,Hedge fund,1.99
Capital One Financial Corporation,Insurance company,3.2399999999999998
Capital One Financial Corporation,"Mutual and pension fund, nominee, trust, trustee",2.61
Capital One Financial Corporation,Private equity firm,0.6
Capital One Financial Corporation,"Public authority, state, government",2.1700000000000004
Capital One Financial Corporation,Venture capital,0.14
Cardinal Health Inc,Bank,38.12999999999999
Cardinal Health Inc,Corporate,11.66
Cardinal Health Inc,Financial company,5.64
Cardinal Health Inc,Insurance company,4.430000000000001
Cardinal Health Inc,"Mutual and pension fund, nominee, trust, trustee",5.03
Cardinal Health Inc,Private equity firm,1.1600000000000001
Cardinal Health Inc,"Public authority, state, government",2.7300000000000004
Cardinal Health Inc,Venture capital,0.22
"Cbre Group, Inc.",Bank,27.080000000000013
"Cbre Group, Inc.",Corporate,22.61
"Cbre Group, Inc.",Financial company,5.56
"Cbre Group, Inc.",Insurance company,8.589999999999998
"Cbre Group, Inc.","Mutual and pension fund, nominee, trust, trustee",6.28
"Cbre Group, Inc.",Private equity firm,3.05
"Cbre Group, Inc.","Public authority, state, government",4.220000000000001
"Cbre Group, Inc.",Venture capital,0.41
Cdw Corp,Bank,30.889999999999997
Cdw Corp,Corporate,17.189999999999998
Cdw Corp,Financial company,22.19
Cdw Corp,Insurance company,6.1800000000000015
Cdw Corp,"Mutual and pension fund, nominee, trust, trustee",9.960000000000003
Cdw Corp,Private equity firm,5.42
Cdw Corp,"Public authority, state, government",2.97
Cdw Corp,Venture capital,0.79
Centene Corp,Bank,36.85000000000002
Centene Corp,Corporate,27.369999999999997
Centene Corp,Financial company,18.300000000000008
Centene Corp,Hedge fund,0.21
Centene Corp,Insurance company,2.0300000000000002
Centene Corp,"Mutual and pension fund, nominee, trust, trustee",4.669999999999999
Centene Corp,One or more named individuals or families,0.11
Centene Corp,Private equity firm,4.7
Centene Corp,"Public authority, state, government",2.9
Centene Corp,Venture capital,0.6599999999999999
"Centerpoint Energy, Inc.",Bank,33.68000000000001
"Centerpoint Energy, Inc.",Corporate,17.42
"Centerpoint Energy, Inc.",Financial company,17.319999999999997
"Centerpoint Energy, Inc.",Hedge fund,0.31000000000000005
"Centerpoint Energy, Inc.",Insurance company,6.290000000000002
"Centerpoint Energy, Inc.","Mutual and pension fund, nominee, trust, trustee",4.09
"Centerpoint Energy, Inc.",Private equity firm,1.5099999999999998
"Centerpoint Energy, Inc.","Public authority, state, government",2.5799999999999996
"Centerpoint Energy, Inc.",Venture capital,0.26
"Charles Schwab Corporation, The",Bank,40.75999999999999
"Charles Schwab Corporation, The",Corporate,17.32
"Charles Schwab Corporation, The",Financial company,13.290000000000003
"Charles Schwab Corporation, The",Hedge fund,0.11
"Charles Schwab Corporation, The",Insurance company,5.479999999999999
"Charles Schwab Corporation, The","Mutual and pension fund, nominee, trust, trustee",3.88
"Charles Schwab Corporation, The",Private equity firm,2.53
"Charles Schwab Corporation, The","Public authority, state, government",2.3000000000000003
"Charles Schwab Corporation, The",Self ownership,0.31
"Charles Schwab Corporation, The",Venture capital,0.15
"Charter Communications, Inc.",Bank,15.430000000000003
"Charter Communications, Inc.",Corporate,29.890000000000004
"Charter Communications, Inc.",Financial company,6.6499999999999995
"Charter Communications, Inc.",Hedge fund,0.39
"Charter Communications, Inc.",Insurance company,4.21
"Charter Communications, Inc.","Mutual and pension fund, nominee, trust, trustee",7.32
"Charter Communications, Inc.",Private equity firm,0.35
"Charter Communications, Inc.","Public authority, state, government",0.96
Chevron Corporation,Bank,62.90000000000001
Chevron Corporation,Corporate,17.88
Chevron Corporation,Financial company,21.240000000000002
Chevron Corporation,Insurance company,6.32
Chevron Corporation,"Mutual and pension fund, nominee, trust, trustee",3.82
Chevron Corporation,Private equity firm,0.43999999999999995
Chevron Corporation,"Public authority, state, government",4.6
Cigna Corporation,Bank,38.89000000000001
Cigna Corporation,Corporate,21.410000000000004
Cigna Corporation,Financial company,13.5
Cigna Corporation,Hedge fund,0.13
Cigna Corporation,Insurance company,5.550000000000002
Cigna Corporation,"Mutual and pension fund, nominee, trust, trustee",2.95
Cigna Corporation,Private equity firm,1.4200000000000002
Cigna Corporation,"Public authority, state, government",2.48
Cigna Corporation,Venture capital,0.29000000000000004
Cisco Systems Inc,Bank,36.68
Cisco Systems Inc,Corporate,109.02000000000002
Cisco Systems Inc,Financial company,3.24
Cisco Systems Inc,Insurance company,2.3099999999999996
Cisco Systems Inc,"Mutual and pension fund, nominee, trust, trustee",2.31
Cisco Systems Inc,Private equity firm,0.36
Cisco Systems Inc,"Public authority, state, government",2.83
Cisco Systems Inc,Venture capital,0.13
Citigroup Inc,Bank,32.059999999999995
Citigroup Inc,Corporate,9.389999999999999
Citigroup Inc,Financial company,16.170000000000005
Citigroup Inc,Hedge fund,0.0
Citigroup Inc,Insurance company,5.51
Citigroup Inc,"Mutual and pension fund, nominee, trust, trustee",2.7700000000000005
Citigroup Inc,Private equity firm,0.48
Citigroup Inc,"Public authority, state, government",3.0799999999999996
Citigroup Inc,Venture capital,0.11
Cognizant Technology Solutions Corp,Bank,42.49999999999999
Cognizant Technology Solutions Corp,Corporate,12.28
Cognizant Technology Solutions Corp,Financial company,19.330000000000002
Cognizant Technology Solutions Corp,Hedge fund,0.0
Cognizant Technology Solutions Corp,Insurance company,5.66
